Num,indic,lats,lons,year,month,day,land
275,1,11.5,128.1,2006,9,25,0
276,1,13.8,158.2,2006,10,8,0
277,1,12.1,141.5,2006,10,25,0
278,1,15.8,141.1,2006,11,7,0
279,1,6.4,148.8,2006,11,24,0
280,1,8.4,141,2006,12,6,0
281,1,6.8,157,2007,3,31,0
282,1,8.4,145.9,2007,5,15,0
283,1,4.5,148.2,2007,7,7,0
284,1,19.5,154.7,2007,7,27,0
285,1,18.3,137.8,2007,8,4,0
286,1,18.3,135.8,2007,8,11,0
287,1,20.5,155.1,2007,8,28,0
288,1,25.5,159.3,2007,9,6,0
289,1,18.7,138.7,2007,9,11,0
290,1,17.1,134.6,2007,9,14,0
291,1,15.2,118.2,2007,9,29,0
292,1,16.9,131.3,2007,10,1,0
293,1,19.2,146.6,2007,10,18,0
294,1,18,132.6,2007,11,2,0
295,1,9.3,127.3,2007,11,18,0
296,1,12.3,137.6,2007,11,20,0
297,1,8.7,125.9,2008,4,13,1
298,1,7,133.5,2008,5,7,0
299,1,11.6,116,2008,5,14,0
300,1,10.9,139.9,2008,5,26,0
301,1,7.8,134.6,2008,6,17,0
302,1,19.9,126.5,2008,7,11,0
303,1,21.4,133.2,2008,7,24,0
304,1,13.2,145.2,2008,8,16,0
305,1,15.9,127.2,2008,9,7,0
306,1,17,141.8,2008,9,17,0
307,1,11.5,138.8,2008,9,23,0
308,1,14.6,166.1,2008,12,8,0
309,1,12.7,124.5,2009,5,1,0
310,1,9.7,111.3,2009,5,3,0
311,1,10.2,129.9,2009,6,13,0
312,1,15.6,127.8,2009,7,15,0
313,1,20.8,135.7,2009,8,3,0
314,1,11.3,161.9,2009,8,16,0
315,1,19.8,150.8,2009,8,26,0
316,1,14,154.3,2009,9,11,0
317,1,14.7,128.4,2009,9,11,0
318,1,14.2,127.4,2009,9,25,0
319,1,9.9,146.9,2009,9,27,0
320,1,8.3,162.7,2009,9,28,0
321,1,9.4,152.3,2009,10,14,0
322,1,12.3,151.3,2009,10,26,0
323,1,5.8,148.3,2009,11,21,0
324,1,12.3,136.6,2010,7,10,0
325,1,15.5,123,2010,7,17,0
326,1,16.7,118,2010,8,21,0
327,1,15.8,140.9,2010,8,28,0
328,1,23.2,124.7,2010,9,6,0
329,1,17,135.6,2010,9,13,0
330,1,17,148.7,2010,9,19,0
331,1,12.6,144.3,2010,10,11,0
332,1,16.1,145,2010,10,20,0
333,0,9.3158109533,179.4138198579,2005,8,21,0
334,0,50.1312975772,154.0172284772,1996,8,17,0
335,0,41.0018465063,100.5666079279,2002,5,31,1
336,0,23.8449772121,111.8472433859,1999,4,6,1
337,0,48.2526274351,96.1318726907,2003,3,26,1
338,0,6.8686349737,112.2552623833,1992,7,5,0
339,0,53.9479118027,133.6272403551,1996,9,12,1
340,0,44.8763848236,120.8762346371,2001,5,26,1
341,0,35.070223636,159.7295023408,1994,6,17,0
342,0,1.937444536,98.4893771075,1996,11,16,1
343,0,34.9876021128,92.6624878426,2009,10,30,1
344,0,17.9940152681,103.2685505203,2004,1,22,1
345,0,27.6015303237,158.2321857708,1995,5,17,0
346,0,7.1115901368,174.4152628491,2002,6,9,0
347,0,56.9430373376,156.5833987598,1994,4,14,1
348,0,32.7019405877,119.080520554,2005,11,7,1
349,0,35.0399200246,116.3427502499,1997,7,2,1
350,0,29.3075801851,167.2740018787,1999,4,27,0
351,0,10.1805842528,116.6768029961,2008,5,29,0
352,0,50.2812888008,166.9594259304,1998,4,2,0
353,0,48.6736847414,94.9349271739,2000,6,1,1
354,0,28.0314876325,169.3596631545,1992,1,29,0
355,0,41.270470242,91.14456977,2008,1,14,1
356,0,17.422443009,145.1693399996,1991,11,6,0
357,0,3.0837952578,158.784966669,2005,12,11,0
358,0,42.5200229511,133.5700545902,1997,10,15,0
359,0,46.2325958535,98.9530135319,2006,6,4,1
360,0,53.2903182087,126.6788722691,2004,6,21,1
361,0,4.9246194446,151.5470815916,1994,9,11,0
362,0,40.3736056248,171.5407488565,1993,11,19,0
363,0,57.6956096711,105.9293896006,1998,12,5,1
364,0,15.3591703484,90.6765165646,2009,2,17,0
365,0,39.0962781664,156.5314710885,2000,9,28,0
366,0,35.1700873068,106.2808781513,2005,1,23,1
367,0,2.3507464305,104.0698507195,1999,5,9,0
368,0,52.4899307918,155.9865488322,2007,9,24,0
369,0,21.0985819716,164.0878707916,2004,1,7,0
370,0,23.6983081978,175.1298546698,1993,9,19,0
371,0,36.6437320551,159.2230653204,1996,2,24,0
372,0,53.5922603169,113.2399144513,1993,10,21,1
373,0,23.6712005502,132.5795719028,2007,12,23,0
374,0,39.3167599104,136.1721679405,1999,1,8,0
375,0,59.6196273481,155.648152458,1996,7,12,0
376,0,9.3343561096,122.0760933682,2003,11,28,0
377,0,46.3095402718,111.529433406,2003,10,13,1
378,0,33.8112584129,170.0001790887,1998,9,22,0
379,0,30.3170680208,154.1657407349,1995,12,22,0
380,0,14.5582072483,171.854021817,1992,4,26,0
381,0,33.9912027447,117.4919369188,2001,3,11,1
382,0,32.5744174328,150.5298867007,1999,10,29,0
383,0,33.0170947546,111.070605868,1993,12,19,1
384,0,37.9095454887,138.0556672462,1994,3,14,0
385,0,53.7221369706,93.4455473232,2003,8,6,1
386,0,59.4370492687,164.1306412546,1995,11,7,0
387,0,59.9904019386,170.6401790329,2010,5,24,0
388,0,57.172190831,164.0781420213,2005,9,20,0
389,0,7.1587520605,146.424485764,2008,12,4,0
390,0,51.994591495,155.338231253,2006,9,11,0
391,0,36.3727976801,152.0841249637,2008,3,22,0
392,0,15.8755254932,99.6889427654,2004,4,20,1
393,0,55.8284475049,107.0876789954,2007,3,3,1
394,0,12.3631856125,110.2384966426,1998,2,19,0
395,0,41.9120931951,116.7525141709,2006,11,28,1
396,0,45.139740631,143.3846506546,2001,9,19,0
397,0,49.994538012,159.9955748348,2007,10,13,0
398,0,51.0154907126,175.3612610791,1998,9,27,0
399,0,24.4904664438,104.0401577856,2000,1,13,1
400,0,1.3718041778,119.2373477016,1992,1,16,0
401,0,24.6952387132,95.5516139651,2010,10,15,1
402,0,46.044853013,104.7965882532,2003,8,8,1
403,0,18.5353934113,139.569042013,2000,4,29,0
404,0,57.3376058601,178.9755637315,2007,4,23,0
405,0,22.3176950449,156.4634376112,2009,1,15,0
406,0,45.6488740398,162.5704844669,1993,12,26,0
407,0,24.8904003901,110.0000020559,2008,4,18,1
408,0,42.0674933167,150.2293752087,2007,8,12,0
409,0,37.6905419491,152.812406905,1995,6,1,0
410,0,19.3029264919,172.2793807508,1997,4,11,0
411,0,35.1354950666,155.8603159874,2007,11,28,0
412,0,6.4135140739,99.1851092479,1991,10,14,0
413,0,47.2850642027,141.879944012,1998,12,2,1
414,0,1.5074658534,167.4132200726,2004,4,12,0
415,0,45.491863084,115.336750166,2002,10,21,1
416,0,50.0733589847,90.2840709127,1998,10,22,1
417,0,47.3008426325,121.7246228387,2006,5,9,1
418,0,7.1027876856,150.9859746974,2000,8,14,0
419,0,19.8958099494,141.6151043074,1993,8,12,0
420,0,11.7697798507,93.9667354873,2008,9,15,0
421,0,10.9959962731,112.2344538476,1995,7,26,0
422,0,51.7863919493,118.4871177468,1992,11,11,1
423,0,20.5391906574,160.9060857422,2007,10,27,0
424,0,52.6877606381,176.7238077102,1996,12,25,0
425,0,44.7441211157,113.7419750076,2005,10,14,1
426,0,16.1645505717,158.9016026957,2000,1,10,0
427,0,13.9859313704,102.6795843593,2004,6,30,1
428,0,57.1795585519,151.993443605,1994,8,18,0
429,0,36.8358965311,111.5153014963,2003,2,22,1
430,0,52.4303078139,139.9943525414,2007,5,26,1
431,0,8.380135959,161.1280161166,2001,10,14,0
432,0,39.3253627885,144.1185873421,2007,11,21,0
433,0,57.8708738554,173.370761394,2003,3,16,0
434,0,35.1456790511,93.4972690302,2002,2,18,1
435,0,40.2561929869,104.38672991,1999,7,1,1
436,0,48.1163246278,93.641584469,1998,3,20,1
437,0,13.6863303557,125.3117795871,2007,7,14,0
438,0,51.6313981544,107.5627775886,1992,6,2,1
439,0,17.3705762252,116.6700374801,1994,2,21,0
440,0,22.5058848364,153.3879605122,1995,4,10,0
441,0,32.6516391383,101.2975531141,2005,12,15,1
442,0,29.1593660228,144.3986645713,1994,7,25,0
443,0,56.9543414516,141.9553270144,2009,2,15,0
444,0,3.341906243,128.5078078578,1996,12,7,0
445,0,28.0636735819,96.985528646,2002,1,7,1
446,0,28.6757562216,140.4417449003,2008,10,31,0
447,0,9.4945713971,148.4688351327,2003,10,19,0
448,0,55.0177555159,133.7236911035,2007,7,12,1
449,0,33.5543340677,161.3697973313,1997,10,20,0
450,0,22.7073222399,176.9488530722,2010,2,15,0
451,0,36.0555897653,154.9636176392,2005,3,10,0
452,0,59.8951561796,164.6619474236,1991,4,30,0
453,0,48.3442306705,106.8725854252,2005,12,6,1
454,0,3.5684147989,125.3043879848,2007,1,29,0
455,0,11.5691819089,121.7926597525,1992,5,17,0
456,0,7.8170338506,103.08191041,2000,10,1,0
457,0,35.9653279139,94.0341807646,1994,5,13,1
458,0,15.8702609316,127.4297888693,2002,6,12,0
459,0,17.7879913012,168.4649573313,2000,8,12,0
460,0,12.5330637954,163.7562013767,2010,1,20,0
461,0,49.3989546318,105.5190102174,1999,4,25,1
462,0,22.9603888979,162.3702724418,2004,3,26,0
463,0,22.4680592213,128.5866334126,1993,10,15,0
464,0,5.1662018057,129.5038982062,2004,5,4,0
465,0,39.346521073,150.008553341,2010,12,17,0
466,0,47.082827976,156.6472292575,2006,4,25,0
467,0,43.2766177738,130.4716768954,1993,5,13,1
468,0,45.2518399945,100.2268249355,2010,3,16,1
469,0,42.7808864554,130.2077202452,2003,4,7,1
470,0,58.3346638782,97.6883740257,2001,3,21,1
471,0,4.9663943611,178.0144280987,2001,9,22,0
472,0,31.605373132,103.8906963193,2010,6,1,1
473,0,43.2951409975,165.1599931531,2007,1,30,0
474,0,37.0125937555,149.2969278968,2010,3,31,0
475,0,41.9037974579,109.1388067673,1997,6,26,1
476,0,31.0030690162,129.7135717445,2001,1,16,0
477,0,11.1975112231,157.4400464469,2002,9,16,0
478,0,5.3907796321,175.2905303473,1994,3,18,0
479,0,31.8720739894,130.4260861734,2002,3,21,1
480,0,9.6771787154,170.0769865536,2006,2,2,0
481,0,2.9187582666,101.4678951167,1991,8,22,1
482,0,14.254088751,101.4167447411,1997,12,12,1
483,0,17.8929198487,148.8581143948,2007,4,28,0
484,0,53.7383234873,106.4481871203,2005,6,7,1
485,0,7.0502716815,157.9129990214,2003,8,20,0
486,0,9.4284233591,137.7239025501,1996,4,18,0
487,0,50.4710008157,93.6166084721,1993,6,5,1
488,0,18.0404290929,120.2543524909,2000,8,23,0
489,0,38.44928673,152.4289751938,1998,7,17,0
490,0,41.9547263626,172.5839371607,2010,1,16,0
491,0,15.6985721318,115.9856077912,2001,1,31,0
492,0,29.3532065442,143.9615005441,2003,8,23,0
493,0,15.9120250912,159.0625325125,2000,5,2,0
494,0,21.0960655566,123.0547457747,2006,10,13,0
495,0,5.5458758399,161.0942770285,2001,7,29,0
496,0,10.3508731211,123.0303028459,2002,2,3,1
497,0,9.8100915318,112.2401061421,2008,5,3,0
498,0,3.9467411349,154.9740358,2005,1,26,0
499,0,46.6729387315,96.4842222095,2003,4,18,1
500,0,22.4850324774,94.3605988333,2006,8,13,1
501,0,31.8810929591,135.2062228764,2009,6,23,0
502,0,51.7856904259,156.8593569752,1998,2,28,1
503,0,11.1089015985,124.5745342062,2007,12,5,0
504,0,52.6860858919,103.1828858773,1993,5,11,1
505,0,2.720719683,119.8971309909,2001,9,4,0
506,0,2.3662646022,109.7858409723,2010,12,15,0
507,0,52.6616120758,174.9226744962,2002,11,28,0
508,0,7.1031632647,143.8459967868,1991,5,13,0
509,0,7.7181321289,148.2715095626,1998,2,27,0
510,0,43.6989523144,177.3440556997,2005,12,9,0
511,0,37.1896136133,115.6380956993,2010,5,23,1
512,0,42.8897471773,101.9565528422,1999,12,11,1
513,0,59.9255781295,179.2857527593,2010,8,29,0
514,0,13.3237038273,142.841131466,1993,3,18,0
515,0,53.3551714802,113.3885131893,2001,8,15,1
516,0,20.9642151464,160.0696596061,1995,9,17,0
517,0,47.648874172,93.7358379643,2007,7,21,1
518,0,23.9364234125,146.2820338528,2006,2,25,0
519,0,16.7782249069,137.1879819967,1994,1,10,0
520,0,53.0928832479,104.8050039983,1993,8,11,1
521,0,39.7546471003,179.1363210906,2001,8,14,0
522,0,51.8478218559,139.4066655426,2005,10,23,1
523,0,14.2263897043,154.9925513193,1997,12,23,0
524,0,20.5526012694,159.3726388318,2005,12,18,0
525,0,51.7037382396,156.5885186149,1993,6,11,0
526,0,50.7299746759,178.3006362291,2006,8,16,0
527,0,24.526182292,157.4630565103,1992,11,21,0
528,0,11.6281376034,105.443855098,1994,6,18,1
529,0,21.8222716637,134.4932243298,2000,6,25,0
530,0,43.8405213319,134.5288007311,1999,5,29,1
531,0,7.9388165893,150.4120637546,2002,3,29,0
532,0,13.5593500966,104.6356839384,2004,6,12,1
533,0,17.9095668672,104.0637361631,1992,2,19,1
534,0,56.3735342491,175.3732899693,2004,10,7,0
535,0,48.9624342928,162.2481064335,1994,5,1,0
536,0,18.1838211184,148.2422418636,1996,1,11,0
537,0,25.8984793816,97.384214499,1999,5,11,1
538,0,18.3945752028,170.4851358687,1992,7,20,0
539,0,28.1012381567,144.2365074763,1997,9,3,0
540,0,40.002743178,111.7735210899,1998,8,27,1
541,0,6.3815170387,122.5963038253,2002,5,19,0
542,0,6.5458496008,120.4466694966,1991,9,5,0
543,0,3.7555625942,152.9566113045,2008,12,28,0
544,0,41.6279327916,97.6743632345,2001,6,20,1
545,0,44.6510467166,115.9151244303,1998,8,17,1
546,0,31.9632532401,141.3766812393,1994,6,16,0
547,0,11.5545613691,105.6013417547,2010,12,10,1
548,0,18.9030015282,100.7278269832,1997,7,6,1
549,0,43.2079650974,135.6576781953,2001,3,7,0
550,0,41.2030615518,163.7597673736,1997,9,24,0
551,0,17.650045054,112.6978344563,2008,10,3,0
552,0,56.4277647296,137.0911452617,2007,2,26,1
553,0,47.5962668471,160.6251428509,1992,8,22,0
554,0,1.7262413772,103.5203080229,1993,2,1,1
555,0,15.1313122921,103.0222083768,2001,6,5,1
556,0,11.6079804115,115.1008231868,1997,6,21,0
557,0,5.8791794116,105.6818449683,1993,3,23,0
558,0,25.2753702085,126.8135218858,2007,2,6,0
559,0,46.0452725133,140.1779922028,1995,7,24,0
560,0,34.304976915,104.8994227848,2008,6,10,1
561,0,54.1959692957,100.9502764698,1992,10,22,1
562,0,13.3381003188,169.2007421865,1991,11,21,0
563,0,19.7851966275,142.488665753,2006,6,26,0
564,0,40.7551124739,126.2076250766,2001,8,13,1
565,0,23.3859806601,150.6680558366,1995,4,28,0
566,0,8.1484581996,138.8756247028,2006,9,27,0
567,0,10.1491331728,136.9835818908,2005,10,28,0
568,0,45.3866643738,127.7007846418,2003,3,11,1
569,0,45.7394631766,130.3184470721,2003,11,9,1
570,0,18.4037743416,106.7897699168,2003,8,17,0
571,0,27.7661178913,111.9738474232,1993,10,14,1
572,0,34.8813364422,106.1191085726,2008,8,16,1
573,0,8.3930822415,145.4980177875,1998,10,15,0
574,0,38.5328644048,103.7151777372,1991,4,23,1
575,0,59.9825488217,151.6786196572,2000,4,3,1
576,0,30.6434814446,163.4223727626,2008,11,28,0
577,0,26.7872492876,138.5897056013,2001,12,19,0
578,0,26.260053087,125.1014173077,1993,4,4,0
579,0,57.5562427053,115.5452057929,2003,4,16,1
580,0,31.3000036776,103.1680338783,1998,4,18,1
581,0,40.4185446119,126.628646208,1995,2,2,1
582,0,33.9135052962,149.3592106341,2002,11,17,0
583,0,17.0855478058,175.3059321153,2005,4,30,0
584,0,18.9677780215,145.4937507701,1998,7,19,0
585,0,27.4090347905,166.8199847778,2004,11,20,0
586,0,48.4715855448,130.8876123489,2001,7,15,1
587,0,55.6160093425,91.3363611465,1994,8,10,1
588,0,40.7431381568,165.689513851,2010,3,10,0
589,0,38.7996101193,137.3521772563,2008,4,25,0
590,0,54.0196238458,178.1120031327,2001,2,7,0
591,0,49.4055667939,135.6202389579,2004,6,1,1
592,0,5.3196037235,117.4053527811,2002,7,2,1
593,0,44.0710307239,121.2958337995,2002,10,25,1
594,0,39.1615743516,125.1909349021,1998,9,13,1
595,0,56.7525751283,119.1731857206,2008,4,17,1
596,0,0.0612416631,126.5255140141,1991,9,27,0
597,0,59.0194943547,126.2226946489,2001,9,2,1
598,0,30.974206687,125.9903817996,2003,7,24,0
599,0,46.5421572095,141.262058001,2003,6,7,0
600,0,55.5609971378,174.3163279351,2006,1,31,0
